seed,metric_value,scenario,metric,ablation
74,0.0,balanced,p_timeout,novg
74,1.0,balanced,commit_latency,novg
74,2.0,balanced,junction_pause,novg
74,0.0,balanced,reorientation,novg
75,0.0,balanced,p_open,novg
75,0.0,balanced,p_timeout,novg
75,1.0,balanced,commit_latency,novg
75,2.0,balanced,junction_pause,novg
75,0.0,balanced,reorientation,novg
76,0.0,balanced,p_open,novg
76,0.0,balanced,p_timeout,novg
76,1.0,balanced,commit_latency,novg
76,2.0,balanced,junction_pause,novg
76,0.0,balanced,reorientation,novg
77,0.0,balanced,p_open,novg
77,0.0,balanced,p_timeout,novg
77,1.0,balanced,commit_latency,novg
77,2.0,balanced,junction_pause,novg
77,0.0,balanced,reorientation,novg
78,0.0,balanced,p_open,novg
78,0.0,balanced,p_timeout,novg
78,1.0,balanced,commit_latency,novg
78,2.0,balanced,junction_pause,novg
78,0.0,balanced,reorientation,novg
79,0.02,balanced,p_open,novg
79,0.0,balanced,p_timeout,novg
79,1.0,balanced,commit_latency,novg
79,2.0,balanced,junction_pause,novg
79,0.0,balanced,reorientation,novg
80,0.0,balanced,p_open,novg
80,0.0,balanced,p_timeout,novg
80,1.0,balanced,commit_latency,novg
80,2.0,balanced,junction_pause,novg
80,0.0,balanced,reorientation,novg
81,0.01,balanced,p_open,novg
81,0.0,balanced,p_timeout,novg
81,1.0,balanced,commit_latency,novg
81,2.0,balanced,junction_pause,novg
81,0.0,balanced,reorientation,novg
82,0.0,balanced,p_open,novg
82,0.0,balanced,p_timeout,novg
82,1.0,balanced,commit_latency,novg
82,2.0,balanced,junction_pause,novg
82,0.0,balanced,reorientation,novg
83,0.0,balanced,p_open,novg
83,0.0,balanced,p_timeout,novg
83,1.0,balanced,commit_latency,novg
83,2.0,balanced,junction_pause,novg
83,0.0,balanced,reorientation,novg
84,0.0,balanced,p_open,novg
84,0.0,balanced,p_timeout,novg
84,1.0,balanced,commit_latency,novg
84,2.0,balanced,junction_pause,novg
84,0.0,balanced,reorientation,novg
85,0.0,balanced,p_open,novg
85,0.0,balanced,p_timeout,novg
85,1.0,balanced,commit_latency,novg
85,2.0,balanced,junction_pause,novg
85,0.0,balanced,reorientation,novg
86,0.0,balanced,p_open,novg
86,0.0,balanced,p_timeout,novg
86,1.0,balanced,commit_latency,novg
86,2.0,balanced,junction_pause,novg
86,0.0,balanced,reorientation,novg
87,0.02,balanced,p_open,novg
87,0.0,balanced,p_timeout,novg
87,1.0,balanced,commit_latency,novg
87,2.0,balanced,junction_pause,novg
87,0.0,balanced,reorientation,novg
88,0.0,balanced,p_open,novg
88,0.0,balanced,p_timeout,novg
88,1.0,balanced,commit_latency,novg
88,2.0,balanced,junction_pause,novg
88,0.0,balanced,reorientation,novg
89,0.0,balanced,p_open,novg
89,0.0,balanced,p_timeout,novg
89,1.0,balanced,commit_latency,novg
89,2.0,balanced,junction_pause,novg
89,0.0,balanced,reorientation,novg
90,0.03,balanced,p_open,novg
90,0.0,balanced,p_timeout,novg
90,1.0,balanced,commit_latency,novg
90,2.0,balanced,junction_pause,novg
90,0.0,balanced,reorientation,novg
91,0.01,balanced,p_open,novg
91,0.0,balanced,p_timeout,novg
91,1.0,balanced,commit_latency,novg
91,2.0,balanced,junction_pause,novg
91,0.0,balanced,reorientation,novg
42,0.48,balanced,p_open,novp
42,0.16,balanced,p_timeout,novp
42,4.41,balanced,commit_latency,novp
42,5.41,balanced,junction_pause,novp
42,1.68,balanced,reorientation,novp
43,0.4,balanced,p_open,novp
43,0.18,balanced,p_timeout,novp
43,4.55,balanced,commit_latency,novp
43,5.55,balanced,junction_pause,novp
43,1.66,balanced,reorientation,novp
44,0.53,balanced,p_open,novp
44,0.21,balanced,p_timeout,novp
44,4.6,balanced,commit_latency,novp
44,5.6,balanced,junction_pause,novp
44,1.84,balanced,reorientation,novp
45,0.4,balanced,p_open,novp
45,0.15,balanced,p_timeout,novp
45,4.26,balanced,commit_latency,novp
45,5.26,balanced,junction_pause,novp
45,1.53,balanced,reorientation,novp
46,0.41,balanced,p_open,novp
46,0.28,balanced,p_timeout,novp
46,4.77,balanced,commit_latency,novp
46,5.77,balanced,junction_pause,novp
46,2.03,balanced,reorientation,novp
47,0.49,balanced,p_open,novp
47,0.17,balanced,p_timeout,novp
47,4.41,balanced,commit_latency,novp
47,5.41,balanced,junction_pause,novp
47,1.68,balanced,reorientation,novp
48,0.48,balanced,p_open,novp
48,0.19,balanced,p_timeout,novp
48,4.66,balanced,commit_latency,novp
48,5.66,balanced,junction_pause,novp
48,1.87,balanced,reorientation,novp
49,0.49,balanced,p_open,novp
