protocol,ablation,seed,target_path,expected_direction,window,metric,metric_value
treat,full,42,covered,positive,post_11_30,p_target,0.75
treat,full,42,covered,positive,post_11_30,p_open,0.25
treat,full,42,covered,positive,post_11_30,p_covered,0.75
treat,full,42,covered,positive,post_11_30,p_timeout,0.0
treat,full,42,covered,positive,post_11_30,commit_latency,2.3
treat,full,42,covered,positive,post_11_30,junction_pause_duration,3.3
treat,full,42,covered,positive,post_31_plus,p_target,0.75
treat,full,42,covered,positive,post_31_plus,p_open,0.25
treat,full,42,covered,positive,post_31_plus,p_covered,0.75
treat,full,42,covered,positive,post_31_plus,p_timeout,0.0
treat,full,42,covered,positive,post_31_plus,commit_latency,2.45
treat,full,42,covered,positive,post_31_plus,junction_pause_duration,3.45
treat,full,42,covered,positive,post_all,p_target,0.7285714285714285
treat,full,42,covered,positive,post_all,p_open,0.2714285714285714
treat,full,42,covered,positive,post_all,p_covered,0.7285714285714285
treat,full,42,covered,positive,post_all,p_timeout,0.0
treat,full,42,covered,positive,post_all,commit_latency,2.3714285714285714
treat,full,42,covered,positive,post_all,junction_pause_duration,3.3714285714285714
treat,full,43,covered,positive,pre,p_target,0.5862068965517241
treat,full,43,covered,positive,pre,p_open,0.41379310344827586
treat,full,43,covered,positive,pre,p_covered,0.5862068965517241
treat,full,43,covered,positive,pre,p_timeout,0.10344827586206896
treat,full,43,covered,positive,pre,commit_latency,4.551724137931035
treat,full,43,covered,positive,pre,junction_pause_duration,5.551724137931035
treat,full,43,covered,positive,shock,p_target,1.0
treat,full,43,covered,positive,shock,p_open,0.0
treat,full,43,covered,positive,shock,p_covered,1.0
treat,full,43,covered,positive,shock,p_timeout,0.0
treat,full,43,covered,positive,shock,commit_latency,3.0
treat,full,43,covered,positive,shock,junction_pause_duration,4.0
treat,full,43,covered,positive,post_1_3,p_target,0.3333333333333333
treat,full,43,covered,positive,post_1_3,p_open,0.6666666666666666
treat,full,43,covered,positive,post_1_3,p_covered,0.3333333333333333
treat,full,43,covered,positive,post_1_3,p_timeout,0.0
treat,full,43,covered,positive,post_1_3,commit_latency,2.3333333333333335
treat,full,43,covered,positive,post_1_3,junction_pause_duration,3.3333333333333335
treat,full,43,covered,positive,post_4_10,p_target,0.8571428571428571
treat,full,43,covered,positive,post_4_10,p_open,0.14285714285714285
treat,full,43,covered,positive,post_4_10,p_covered,0.8571428571428571
treat,full,43,covered,positive,post_4_10,p_timeout,0.0
treat,full,43,covered,positive,post_4_10,commit_latency,2.2857142857142856
treat,full,43,covered,positive,post_4_10,junction_pause_duration,3.2857142857142856
treat,full,43,covered,positive,post_11_30,p_target,0.7
treat,full,43,covered,positive,post_11_30,p_open,0.3
treat,full,43,covered,positive,post_11_30,p_covered,0.7
treat,full,43,covered,positive,post_11_30,p_timeout,0.0
treat,full,43,covered,positive,post_11_30,commit_latency,2.45
treat,full,43,covered,positive,post_11_30,junction_pause_duration,3.45
treat,full,43,covered,positive,post_31_plus,p_target,0.65
treat,full,43,covered,positive,post_31_plus,p_open,0.35
treat,full,43,covered,positive,post_31_plus,p_covered,0.65
treat,full,43,covered,positive,post_31_plus,p_timeout,0.0
treat,full,43,covered,positive,post_31_plus,commit_latency,2.425
treat,full,43,covered,positive,post_31_plus,junction_pause_duration,3.425
treat,full,43,covered,positive,post_all,p_target,0.6714285714285714
treat,full,43,covered,positive,post_all,p_open,0.32857142857142857
treat,full,43,covered,positive,post_all,p_covered,0.6714285714285714
treat,full,43,covered,positive,post_all,p_timeout,0.0
treat,full,43,covered,positive,post_all,commit_latency,2.414285714285714
treat,full,43,covered,positive,post_all,junction_pause_duration,3.414285714285714
treat,full,44,covered,positive,pre,p_target,0.6206896551724138
treat,full,44,covered,positive,pre,p_open,0.3793103448275862
treat,full,44,covered,positive,pre,p_covered,0.6206896551724138
treat,full,44,covered,positive,pre,p_timeout,0.20689655172413793
treat,full,44,covered,positive,pre,commit_latency,4.517241379310345
treat,full,44,covered,positive,pre,junction_pause_duration,5.517241379310345
treat,full,44,covered,positive,shock,p_target,1.0
treat,full,44,covered,positive,shock,p_open,0.0
treat,full,44,covered,positive,shock,p_covered,1.0
treat,full,44,covered,positive,shock,p_timeout,0.0
treat,full,44,covered,positive,shock,commit_latency,3.0
treat,full,44,covered,positive,shock,junction_pause_duration,4.0
treat,full,44,covered,positive,post_1_3,p_target,1.0
treat,full,44,covered,positive,post_1_3,p_open,0.0
treat,full,44,covered,positive,post_1_3,p_covered,1.0
treat,full,44,covered,positive,post_1_3,p_timeout,0.0
treat,full,44,covered,positive,post_1_3,commit_latency,2.0
treat,full,44,covered,positive,post_1_3,junction_pause_duration,3.0
treat,full,44,covered,positive,post_4_10,p_target,0.5714285714285714
treat,full,44,covered,positive,post_4_10,p_open,0.42857142857142855
treat,full,44,covered,positive,post_4_10,p_covered,0.5714285714285714
treat,full,44,covered,positive,post_4_10,p_timeout,0.0
treat,full,44,covered,positive,post_4_10,commit_latency,2.4285714285714284
treat,full,44,covered,positive,post_4_10,junction_pause_duration,3.4285714285714284
treat,full,44,covered,positive,post_11_30,p_target,0.65
treat,full,44,covered,positive,post_11_30,p_open,0.35
treat,full,44,covered,positive,post_11_30,p_covered,0.65
treat,full,44,covered,positive,post_11_30,p_timeout,0.0
treat,full,44,covered,positive,post_11_30,commit_latency,2.7
treat,full,44,covered,positive,post_11_30,junction_pause_duration,3.7
treat,full,44,covered,positive,post_31_plus,p_target,0.65
treat,full,44,covered,positive,post_31_plus,p_open,0.35
treat,full,44,covered,positive,post_31_plus,p_covered,0.65
treat,full,44,covered,positive,post_31_plus,p_timeout,0.0
treat,full,44,covered,positive,post_31_plus,commit_latency,2.525
treat,full,44,covered,positive,post_31_plus,junction_pause_duration,3.525
treat,full,44,covered,positive,post_all,p_target,0.6571428571428571
treat,full,44,covered,positive,post_all,p_open,0.34285714285714286
treat,full,44,covered,positive,post_all,p_covered,0.6571428571428571
treat,full,44,covered,positive,post_all,p_timeout,0.0
treat,full,44,covered,positive,post_all,commit_latency,2.5428571428571427
treat,full,44,covered,positive,post_all,junction_pause_duration,3.5428571428571427
treat,full,42,covered,positive,pre,h_risk,0.2767817982991101
treat,full,42,covered,positive,pre,h_opp,0.27448862953860326
treat,full,42,covered,positive,pre,q_neg,0.0
treat,full,42,covered,positive,pre,q_pos,0.0
treat,full,42,covered,positive,pre,X_risk,0.28968609865470846
treat,full,42,covered,positive,pre,X_opp,0.28699551569506715
treat,full,42,covered,positive,shock,h_risk,0.2965886522801849
treat,full,42,covered,positive,shock,h_opp,0.2868584562901358
treat,full,42,covered,positive,shock,q_neg,0.0
treat,full,42,covered,positive,shock,q_pos,0.0
treat,full,42,covered,positive,shock,X_risk,0.25
treat,full,42,covered,positive,shock,X_opp,0.2833333333333333
treat,full,42,covered,positive,post_1_3,h_risk,0.27882874493998877
treat,full,42,covered,positive,post_1_3,h_opp,0.27944573300581416
treat,full,42,covered,positive,post_1_3,q_neg,0.0
treat,full,42,covered,positive,post_1_3,q_pos,1.5027845555526897
treat,full,42,covered,positive,post_1_3,X_risk,0.26666666666666666
treat,full,42,covered,positive,post_1_3,X_opp,0.27999999999999997
treat,full,42,covered,positive,post_4_10,h_risk,0.2702366523852364
treat,full,42,covered,positive,post_4_10,h_opp,0.2806651088631371
treat,full,42,covered,positive,post_4_10,q_neg,0.0
treat,full,42,covered,positive,post_4_10,q_pos,0.4470711453742107
treat,full,42,covered,positive,post_4_10,X_risk,0.27567567567567575
treat,full,42,covered,positive,post_4_10,X_opp,0.28108108108108115
treat,full,42,covered,positive,post_11_30,h_risk,0.26460972492778034
treat,full,42,covered,positive,post_11_30,h_opp,0.2812961399500153
treat,full,42,covered,positive,post_11_30,q_neg,0.0
treat,full,42,covered,positive,post_11_30,q_pos,0.02739533830002448
treat,full,42,covered,positive,post_11_30,X_risk,0.2622641509433962
treat,full,42,covered,positive,post_11_30,X_opp,0.28113207547169805
treat,full,42,covered,positive,post_31_plus,h_risk,0.26390522466831556
treat,full,42,covered,positive,post_31_plus,h_opp,0.28159000675279133
treat,full,42,covered,positive,post_31_plus,q_neg,0.0
treat,full,42,covered,positive,post_31_plus,q_pos,5.8225923510389146e-05
treat,full,42,covered,positive,post_31_plus,X_risk,0.26330275229357797
treat,full,42,covered,positive,post_31_plus,X_opp,0.281651376146789
treat,full,42,covered,positive,post_all,h_risk,0.2653222264159338
treat,full,42,covered,positive,post_all,h_opp,0.2813306046006208
treat,full,42,covered,positive,post_all,q_neg,0.0
treat,full,42,covered,positive,post_all,q_pos,0.11170212718953193
treat,full,42,covered,positive,post_all,X_risk,0.2643617021276595
treat,full,42,covered,positive,post_all,X_opp,0.28138297872340423
treat,full,43,covered,positive,pre,h_risk,0.2711777207251099
treat,full,43,covered,positive,pre,h_opp,0.2740227601094898
treat,full,43,covered,positive,pre,q_neg,0.0
treat,full,43,covered,positive,pre,q_pos,0.0
treat,full,43,covered,positive,pre,X_risk,0.2821917808219177
treat,full,43,covered,positive,pre,X_opp,0.2867579908675798
treat,full,43,covered,positive,shock,h_risk,0.2602300499488584
treat,full,43,covered,positive,shock,h_opp,0.2868568884238026
treat,full,43,covered,positive,shock,q_neg,0.0
treat,full,43,covered,positive,shock,q_pos,0.0
treat,full,43,covered,positive,shock,X_risk,0.25
treat,full,43,covered,positive,shock,X_opp,0.2833333333333333
treat,full,43,covered,positive,post_1_3,h_risk,0.26419932293911347
treat,full,43,covered,positive,post_1_3,h_opp,0.27978233159923993
treat,full,43,covered,positive,post_1_3,q_neg,0.0
treat,full,43,covered,positive,post_1_3,q_pos,1.4696674947891144
treat,full,43,covered,positive,post_1_3,X_risk,0.29374999999999996
treat,full,43,covered,positive,post_1_3,X_opp,0.28125
treat,full,43,covered,positive,post_4_10,h_risk,0.269610880242899
treat,full,43,covered,positive,post_4_10,h_opp,0.2811788168064091
treat,full,43,covered,positive,post_4_10,q_neg,0.0
treat,full,43,covered,positive,post_4_10,q_pos,0.4247175881055002
treat,full,43,covered,positive,post_4_10,X_risk,0.25405405405405407
treat,full,43,covered,positive,post_4_10,X_opp,0.28108108108108115
treat,full,43,covered,positive,post_11_30,h_risk,0.26490792916500533
treat,full,43,covered,positive,post_11_30,h_opp,0.281663266847155
treat,full,43,covered,positive,post_11_30,q_neg,0.0
treat,full,43,covered,positive,post_11_30,q_pos,0.025325049972301217
treat,full,43,covered,positive,post_11_30,X_risk,0.26697247706422017
treat,full,43,covered,positive,post_11_30,X_opp,0.281651376146789
treat,full,43,covered,positive,post_31_plus,h_risk,0.2716078951564063
treat,full,43,covered,positive,post_31_plus,h_opp,0.2815572169614126
treat,full,43,covered,positive,post_31_plus,q_neg,0.0
treat,full,43,covered,positive,post_31_plus,q_pos,4.7643893828570774e-05
treat,full,43,covered,positive,post_31_plus,X_risk,0.2705069124423963
treat,full,43,covered,positive,post_31_plus,X_opp,0.28156682027649765
treat,full,43,covered,positive,post_all,h_risk,0.2691732698256961
treat,full,43,covered,positive,post_all,h_opp,0.28147584615934407
treat,full,43,covered,positive,post_all,q_neg,0.0
treat,full,43,covered,positive,post_all,q_pos,0.11081794155269385
treat,full,43,covered,positive,post_all,X_risk,0.26886543535620056
treat,full,43,covered,positive,post_all,X_opp,0.2815303430079155
treat,full,44,covered,positive,pre,h_risk,0.2691392105351379
treat,full,44,covered,positive,pre,h_opp,0.2738363713149894
treat,full,44,covered,positive,pre,q_neg,0.0
treat,full,44,covered,positive,pre,q_pos,0.0
treat,full,44,covered,positive,pre,X_risk,0.28027522935779814
treat,full,44,covered,positive,pre,X_opp,0.2866972477064219
