protocol,ablation,check,status,value,threshold_or_expectation,note
treat,full,carrier_delta_h_opp_post_11_30,pass,0.008007748425983556,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0078, 0.0082], directional_p=0.000050, sign_consistency=1.0000"
treat,full,carrier_delta_h_opp_post_all,pass,0.00779048904846378,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0076, 0.0080], directional_p=0.000050, sign_consistency=1.0000"
treat,full,carrier_delta_q_pos_post_1_3,pass,1.4997090076705042,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[1.4930, 1.5064], directional_p=0.000050, sign_consistency=1.0000"
treat,full,carrier_delta_q_pos_post_4_10,pass,0.43742810253506825,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.4320, 0.4431], directional_p=0.000050, sign_consistency=1.0000"
treat,full,carrier_delta_q_pos_post_11_30,pass,0.02507080365128839,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.0245, 0.0257], directional_p=0.000050, sign_consistency=1.0000"
treat,full,carrier_delta_q_pos_post_all,pass,0.1100249098435992,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[0.1097, 0.1104], directional_p=0.000050, sign_consistency=1.0000"
treat,novg,carrier_delta_h_opp_post_1_3,pass,0.01726944067419356,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0173, 0.0173], directional_p=0.000050, sign_consistency=1.0000"
treat,novg,carrier_delta_h_opp_post_4_10,pass,0.02078077741948892,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0208, 0.0208], directional_p=0.000050, sign_consistency=1.0000"
treat,novg,carrier_delta_h_opp_post_11_30,pass,0.02278459600915123,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0228, 0.0228], directional_p=0.000050, sign_consistency=1.0000"
treat,novg,carrier_delta_h_opp_post_all,pass,0.02238762425725649,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0224, 0.0224], directional_p=0.000050, sign_consistency=1.0000"
treat,novg,carrier_delta_q_pos_post_1_3,pass,1.6087396931807698,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_pos, ci=[1.6087, 1.6087], directional_p=0.000050, sign_consistency=1.0000"
