protocol,ablation,target_path,expected_direction,window,metric,n_seeds,mean,ci_low,ci_high
treat,full,covered,positive,post_11_30,commit_latency,50,2.499,2.4690000000000003,2.5270249999999996
treat,full,covered,positive,post_31_plus,commit_latency,50,2.4675,2.4475,2.4880000000000004
treat,full,covered,positive,post_all,commit_latency,50,2.454,2.436857142857143,2.470857142857143
treat,full,covered,positive,pre,h_opp,50,0.27377181917344123,0.27359120926019903,0.27394992827179393
treat,full,covered,positive,shock,h_opp,50,0.2861572505663175,0.28584174602490947,0.2864819993879935
treat,full,covered,positive,post_1_3,h_opp,50,0.27921243874670365,0.27903242951021523,0.2793905253777354
treat,full,covered,positive,post_4_10,h_opp,50,0.2810599594567145,0.2809116924554132,0.28120451100738414
treat,full,covered,positive,post_11_30,h_opp,50,0.2817795675994248,0.28168804144141457,0.28186686473142497
treat,full,covered,positive,post_31_plus,h_opp,50,0.28169748760500884,0.2816319171415658,0.28176524991072
treat,full,covered,positive,post_all,h_opp,50,0.28156230822190503,0.2815014677382922,0.2816225575937062
treat,full,covered,positive,pre,h_risk,50,0.27115301824797505,0.269879068937863,0.27234206688333434
treat,full,covered,positive,shock,h_risk,50,0.27952621028859725,0.27549549760206077,0.28342672651986606
treat,full,covered,positive,post_1_3,h_risk,50,0.2651827871644341,0.26213925569825797,0.2683637539292458
treat,full,covered,positive,post_4_10,h_risk,50,0.2668136035900608,0.2637017036621386,0.27009411521562776
treat,full,covered,positive,post_11_30,h_risk,50,0.2673890083242474,0.2654332480469196,0.2694819146751411
treat,full,covered,positive,post_31_plus,h_risk,50,0.2662593967348699,0.26492474944210986,0.2675876159198192
treat,full,covered,positive,post_all,h_risk,50,0.2666216747555852,0.26571525865462514,0.2675549733399745
treat,full,covered,positive,pre,junction_pause_duration,50,5.472413793103449,5.419310344827587,5.52551724137931
treat,full,covered,positive,shock,junction_pause_duration,50,4.0,4.0,4.0
treat,full,covered,positive,post_1_3,junction_pause_duration,50,3.0333333333333337,2.9666666666666663,3.1000000000000005
treat,full,covered,positive,post_4_10,junction_pause_duration,50,3.428571428571429,3.377142857142857,3.477142857142857
treat,full,covered,positive,post_11_30,junction_pause_duration,50,3.4990000000000006,3.4690000000000003,3.5279999999999996
treat,full,covered,positive,post_31_plus,junction_pause_duration,50,3.4674999999999994,3.4475,3.4875
treat,full,covered,positive,post_all,junction_pause_duration,50,3.4539999999999997,3.4374285714285713,3.470857142857143
treat,full,covered,positive,pre,p_covered,50,0.5593103448275862,0.5365517241379311,0.5841379310344827
