protocol,ablation,target_path,expected_direction,trial,rel_trial,n_trials,p_open,p_covered,p_target,p_timeout,mean_commit_latency,mean_junction_pause_duration,mean_h_risk,mean_h_opp,mean_q_neg,mean_q_pos,mean_X_risk,mean_X_opp
shock,full,open,negative,67,37,50,0.44,0.56,0.44,0.24,4.58,5.58,0.28890074497246593,0.286606668399787,0.015350978598601113,0.0,0.2838253968253968,0.28646031746031747
shock,full,open,negative,68,38,50,0.48,0.52,0.48,0.12,4.26,5.26,0.2879641724607527,0.28654570908099125,0.013215551658906026,0.0,0.2834761904761905,0.2859206349206349
shock,full,open,negative,69,39,50,0.36,0.64,0.36,0.14,4.72,5.72,0.2879045579686346,0.2865118072545502,0.01136573938223564,0.0,0.2787301587301587,0.2866666666666667
shock,full,open,negative,70,40,50,0.42,0.58,0.42,0.14,4.28,5.28,0.2850288392401874,0.28659579583655165,0.009771466310822137,0.0,0.280984126984127,0.28593650793650793
shock,full,open,negative,71,41,50,0.48,0.52,0.48,0.14,4.44,5.44,0.2850965947576096,0.2864420161602131,0.00842285190350059,0.0,0.28530158730158733,0.2861904761904762
shock,full,open,negative,72,42,50,0.46,0.54,0.46,0.2,4.46,5.46,0.28624027667579255,0.2864485619065211,0.007248093797808086,0.0,0.2827142857142857,0.28623809523809524
shock,full,open,negative,73,43,50,0.36,0.64,0.36,0.22,4.62,5.62,0.28579988003246626,0.2865256673966872,0.00622460744783623,0.0,0.2792222222222222,0.28655555555555556
shock,full,open,negative,74,44,50,0.46,0.54,0.46,0.24,4.7,5.7,0.2836372325262264,0.2867123976076861,0.005332420074836579,0.0,0.2843333333333333,0.28665079365079366
shock,full,open,negative,75,45,50,0.42,0.58,0.42,0.16,4.54,5.54,0.28461048174412645,0.28679429903901144,0.004573087234509829,0.0,0.28115873015873016,0.28633333333333333
shock,full,open,negative,76,46,50,0.44,0.56,0.44,0.26,4.6,5.6,0.2839554506189917,0.28674974245956647,0.003923062354578628,0.0,0.28244444444444444,0.28650793650793654
shock,full,open,negative,77,47,50,0.48,0.52,0.48,0.22,4.28,5.28,0.28433906413430315,0.2866597202134964,0.0033745462686135337,0.0,0.2848888888888889,0.28590476190476194
shock,full,open,negative,78,48,50,0.38,0.62,0.38,0.14,4.44,5.44,0.2847748383027679,0.2864550749555684,0.0029090343193079716,0.0,0.27920634920634924,0.28625396825396826
shock,full,open,negative,79,49,50,0.48,0.52,0.48,0.18,4.64,5.64,0.28357881181570177,0.2865483430565427,0.002498004887915098,0.0,0.2854920634920635,0.2865714285714286
shock,full,open,negative,80,50,50,0.48,0.52,0.48,0.16,4.34,5.34,0.28519530362025913,0.2865947079527912,0.0021487667465034123,0.0,0.2850634920634921,0.285984126984127
shock,full,open,negative,81,51,50,0.52,0.48,0.52,0.26,4.38,5.38,0.2858609881386221,0.2864630782032349,0.0018536477947627217,0.0,0.28658730158730156,0.28604761904761905
shock,full,open,negative,82,52,50,0.44,0.56,0.44,0.16,4.36,5.36,0.2865687976169412,0.28641955908636757,0.0015974675642627695,0.0,0.28234920634920635,0.286031746031746
shock,full,open,negative,83,53,50,0.54,0.46,0.54,0.2,4.58,5.58,0.2855575652842238,0.28646324544925067,0.0013734570683433323,0.0,0.2896666666666667,0.28639682539682537
shock,full,open,negative,84,54,50,0.6,0.4,0.6,0.16,4.4,5.4,0.287802926006316,0.2865371823153197,0.0011802456800900918,0.0,0.29133333333333333,0.2861269841269841
shock,full,open,negative,85,55,50,0.4,0.6,0.4,0.16,4.28,5.28,0.2893524805903833,0.2864374998807487,0.001018266132047634,0.0,0.2812698412698413,0.28590476190476194
shock,full,open,negative,86,56,50,0.38,0.62,0.38,0.16,4.62,5.62,0.28511707413432535,0.2864434713135949,0.0008761104906804335,0.0,0.28134920634920635,0.2865238095238095
shock,full,open,negative,87,57,50,0.46,0.54,0.46,0.2,4.6,5.6,0.283091074160151,0.2866512363435149,0.0007510592462420261,0.0,0.28457142857142853,0.2864761904761905
shock,full,open,negative,88,58,50,0.46,0.54,0.46,0.18,4.36,5.36,0.28386905105755494,0.2866366859213847,0.0006461348113404556,0.0,0.2833015873015873,0.2860952380952381
shock,full,open,negative,89,59,50,0.4,0.6,0.4,0.2,4.5,5.5,0.2835291718063757,0.2865367029347395,0.0005561689112147938,0.0,0.27998412698412695,0.2863015873015873
shock,full,open,negative,90,60,50,0.36,0.64,0.36,0.14,4.24,5.24,0.2818338249858494,0.2864735599772903,0.0004791792736326614,0.0,0.2777777777777778,0.28584126984126984
shock,full,open,negative,91,61,50,0.54,0.46,0.54,0.18,4.56,5.56,0.2813551656275441,0.28641084610084,0.0004127071992174561,0.0,0.28755555555555556,0.2864761904761905
shock,full,open,negative,92,62,50,0.54,0.46,0.54,0.16,4.44,5.44,0.2856678199834959,0.2865349989617243,0.0003544113947081062,0.0,0.28793650793650793,0.2862222222222222
shock,full,open,negative,93,63,50,0.5,0.5,0.5,0.18,4.54,5.54,0.2871566025534888,0.28654182202023537,0.0003044936148333232,0.0,0.2869047619047619,0.2863650793650794
shock,full,open,negative,94,64,50,0.44,0.56,0.44,0.26,4.46,5.46,0.28625253077292356,0.28657041134362676,0.000261551549081435,0.0,0.28131746031746035,0.2861746031746032
shock,full,open,negative,95,65,50,0.4,0.6,0.4,0.26,4.5,5.5,0.2844942735557025,0.28653922444186775,0.00022468931938231893,0.0,0.28042857142857147,0.2863015873015873
shock,full,open,negative,96,66,50,0.54,0.46,0.54,0.2,4.6,5.6,0.28355604646757404,0.28659928265558743,0.00019292528394374575,0.0,0.2881904761904762,0.2864761904761905
shock,full,open,negative,97,67,50,0.44,0.56,0.44,0.24,4.72,5.72,0.285725296571368,0.2867257925735492,0.00016532181910421407,0.0,0.28269841269841267,0.2867619047619048
shock,full,open,negative,98,68,50,0.38,0.62,0.38,0.26,4.68,5.68,0.2843074648143146,0.28686882921968854,0.0001415478536990198,0.0,0.28044444444444444,0.28660317460317464
shock,full,open,negative,99,69,50,0.42,0.58,0.42,0.12,4.34,5.34,0.2821765113982004,0.28675587745528736,0.00012168829845726468,0.0,0.280968253968254,0.2860793650793651
shock,full,open,negative,100,70,50,0.32,0.68,0.32,0.18,4.48,5.48,0.28162591012360755,0.28658303675145197,0.0001048306588496243,0.0,0.27704761904761904,0.2863174603174603
shock,novg,open,negative,1,-29,50,0.02,0.98,0.02,0.0,1.0,2.0,0.04837249999999997,0.04707499999999998,0.0,0.0,0.22699999999999998,0.275
shock,novg,open,negative,2,-28,50,0.0,1.0,0.0,0.0,1.0,2.0,0.10960249724999999,0.1254584075,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,3,-27,50,0.02,0.98,0.02,0.0,1.0,2.0,0.149487698445725,0.17688576116075003,0.0,0.0,0.22699999999999998,0.275
shock,novg,open,negative,4,-26,50,0.0,1.0,0.0,0.0,1.0,2.0,0.17594417895024017,0.21062724789756807,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,5,-25,50,0.0,1.0,0.0,0.0,1.0,2.0,0.19281447580925257,0.23276503734559445,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,6,-24,50,0.02,0.98,0.02,0.0,1.0,2.0,0.20408307757845062,0.24728964100244455,0.0,0.0,0.22699999999999998,0.275
shock,novg,open,negative,7,-23,50,0.0,1.0,0.0,0.0,1.0,2.0,0.21176420719922145,0.2568192334617039,0.0,0.0,0.22499999999999998,0.275
shock,novg,open,negative,8,-22,50,0.02,0.98,0.02,0.0,1.0,2.0,0.21651599634340923,0.26307159907422395,0.0,0.0,0.22699999999999998,0.275
shock,novg,open,negative,9,-21,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2199214452009108,0.2671737761525983,0.0,0.0,0.22499999999999998,0.275
