protocol,ablation,target_path,carrier_metric,post_window,n_seeds,pre_mean,post_mean,delta_post_minus_pre_mean,delta_ci_low,delta_ci_high,directional_sign_consistency,directional_sign_flip_p
treat,full,covered,q_pos,post_all,50,0.0,0.1100249098435992,0.1100249098435992,0.1096825327812264,0.11037613231099042,1.0,4.999750012499375e-05
treat,novg,covered,h_opp,post_1_3,50,0.2521461352858881,0.26941557596008164,0.01726944067419356,0.01726944067419356,0.01726944067419356,1.0,4.999750012499375e-05
treat,novg,covered,h_opp,post_4_10,50,0.2521461352858881,0.272926912705377,0.02078077741948892,0.02078077741948892,0.02078077741948892,1.0,4.999750012499375e-05
treat,novg,covered,h_opp,post_11_30,50,0.2521461352858881,0.2749307312950393,0.02278459600915123,0.02278459600915123,0.02278459600915123,1.0,4.999750012499375e-05
treat,novg,covered,h_opp,post_31_plus,50,0.2521461352858881,0.27500033563253623,0.022854200346648142,0.022854200346648142,0.022854200346648142,1.0,4.999750012499375e-05
treat,novg,covered,h_opp,post_all,50,0.2521461352858881,0.2745337595431446,0.02238762425725649,0.02238762425725649,0.02238762425725649,1.0,4.999750012499375e-05
treat,novg,covered,q_pos,post_1_3,50,0.0,1.6087396931807698,1.6087396931807698,1.6087396931807698,1.6087396931807698,1.0,4.999750012499375e-05
treat,novg,covered,q_pos,post_4_10,50,0.0,0.6177718966462998,0.6177718966462998,0.6177718966462998,0.6177718966462998,1.0,4.999750012499375e-05
treat,novg,covered,q_pos,post_11_30,50,0.0,0.06635460834786248,0.06635460834786248,0.06635460834786248,0.06635460834786248,1.0,4.999750012499375e-05
treat,novg,covered,q_pos,post_31_plus,50,0.0,0.0005569849610828416,0.0005569849610828416,0.0005569849610828416,0.0005569849610828416,1.0,4.999750012499375e-05
treat,novg,covered,q_pos,post_all,50,0.0,0.1499999131638139,0.1499999131638139,0.1499999131638139,0.1499999131638139,1.0,4.999750012499375e-05
treat,novp,covered,h_opp,post_1_3,50,0.27377181917344123,0.2816295551721461,0.007857735998704846,0.007595856102363245,0.008126316791548615,1.0,4.999750012499375e-05
treat,novp,covered,h_opp,post_4_10,50,0.27377181917344123,0.2861084874989547,0.012336668325513443,0.012096426525619711,0.012572846195249848,1.0,4.999750012499375e-05
treat,novp,covered,h_opp,post_11_30,50,0.27377181917344123,0.2866243658794651,0.01285254670602387,0.012642753181344007,0.013067779162763419,1.0,4.999750012499375e-05
treat,novp,covered,h_opp,post_31_plus,50,0.27377181917344123,0.28661883884065087,0.012847019667209657,0.012625386552140933,0.01307697905780472,1.0,4.999750012499375e-05
treat,novp,covered,h_opp,post_all,50,0.27377181917344123,0.2863647836252632,0.012592964451821946,0.012393280442464412,0.012801596038850728,1.0,4.999750012499375e-05
treat,novp,covered,q_pos,post_1_3,50,0.0,1.2798002725353284,1.2798002725353284,1.2618616084510041,1.2965526962273222,1.0,4.999750012499375e-05
treat,novp,covered,q_pos,post_4_10,50,0.0,0.23607545788172526,0.23607545788172526,0.22756818172174972,0.24441991474215888,1.0,4.999750012499375e-05
treat,novp,covered,q_pos,post_11_30,50,0.0,0.006028993984215179,0.006028993984215179,0.005681520581925215,0.006375797381620111,1.0,4.999750012499375e-05
treat,novp,covered,q_pos,post_31_plus,50,0.0,1.445882262312319e-06,1.445882262312319e-06,1.315401012991286e-06,1.5861264100278405e-06,1.0,4.999750012499375e-05
treat,novp,covered,q_pos,post_all,50,0.0,0.08017765606732176,0.08017765606732176,0.0797560999577759,0.08061360428104569,1.0,4.999750012499375e-05
treat,nox,covered,h_opp,post_1_3,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,nox,covered,h_opp,post_4_10,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,nox,covered,h_opp,post_11_30,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,nox,covered,h_opp,post_31_plus,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,nox,covered,h_opp,post_all,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,nox,covered,q_pos,post_1_3,50,0.0,1.4997090076705042,1.4997090076705042,1.4929782508840745,1.5064827023104195,1.0,4.999750012499375e-05
treat,nox,covered,q_pos,post_4_10,50,0.0,0.43742810253506825,0.43742810253506825,0.4318786695751573,0.44300820030493154,1.0,4.999750012499375e-05
treat,nox,covered,q_pos,post_11_30,50,0.0,0.02507080365128839,0.02507080365128839,0.02450075839220083,0.02566666777204637,1.0,4.999750012499375e-05
treat,nox,covered,q_pos,post_31_plus,50,0.0,4.523145306424218e-05,4.523145306424218e-05,4.339495256477892e-05,4.7258547660961e-05,1.0,4.999750012499375e-05
treat,nox,covered,q_pos,post_all,50,0.0,0.1100249098435992,0.1100249098435992,0.10968182688119461,0.11037022476384642,1.0,4.999750012499375e-05
treat,one_shot_off,covered,h_opp,post_1_3,50,0.27377181917344123,0.2866170553185439,0.012845236145102664,0.012511956416311797,0.013171690300730284,1.0,4.999750012499375e-05
treat,one_shot_off,covered,h_opp,post_4_10,50,0.27377181917344123,0.2865417718932091,0.012769952719767871,0.01251851226901146,0.013017601797665425,1.0,4.999750012499375e-05
treat,one_shot_off,covered,h_opp,post_11_30,50,0.27377181917344123,0.286607977791604,0.012836158618162778,0.01260900484139208,0.01305721543951838,1.0,4.999750012499375e-05
treat,one_shot_off,covered,h_opp,post_31_plus,50,0.27377181917344123,0.2866193238700404,0.012847504696599154,0.012626345681317794,0.013073226010659782,1.0,4.999750012499375e-05
treat,one_shot_off,covered,h_opp,post_all,50,0.27377181917344123,0.2866188072413227,0.012846988067881503,0.012640743066055523,0.013057703321592503,1.0,4.999750012499375e-05
treat,one_shot_off,covered,q_pos,post_1_3,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,one_shot_off,covered,q_pos,post_4_10,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,one_shot_off,covered,q_pos,post_11_30,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,one_shot_off,covered,q_pos,post_31_plus,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,one_shot_off,covered,q_pos,post_all,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
